MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,section,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround,northendpilot,timestamp,parent,losta,hista
3179,Short St,1C,Charlestown,08:00,12:00,Odd,Bunker Hill St,Medford St,6.49621212121212E-02,,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,SHORT1,0,343
3180,Cambridge St,1C,Charlestown,05:00,07:00,Even,Alford St,Crescent St,0.420454545454545,,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,CAMBR3,0,2220
3181,Lynde St,1C,Charlestown,08:00,12:00,Even,Arrow St,New Rutherford Ave,0.171022727272727,,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,2/29/2012 10:06:53 AM,LYNDE1,0,903
3182,Lynde St,1C,Charlestown,08:00,12:00,Odd,Arrow St,New Rutherford Ave,0.171022727272727,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2/29/2012 10:06:53 AM,LYNDE1,0,903
3183,Armory St,1C,Charlestown,12:00,16:00,Even,Main St,Dead End,6.85606060606061E-02,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,ARMOR1,0,362
3184,Armory St,1C,Charlestown,12:00,16:00,Odd,Main St,Dead End,6.85606060606061E-02,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,ARMOR1,0,362
3185,Alford St,1C,Charlestown,05:00,07:00,Even,Cambridge St,EVERETT TOWN LINE,0.779545454545455,,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,ALFOR1,0,4116
3186,Revere St,1H,Beacon Hill,08:00,12:00,Even,Charles St,David G Mugar Way,6.93181818181818E-02,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,2/14/2012 8:36:32 AM,REVER2,1191,1557
3187,Thacher St,1N,North End,12:00,16:00,Odd,North Margin St,North Washington St,8.23863636363636E-02,,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,2/14/2012 8:36:32 AM,THACH1,147,582
3188,Thacher St,1N,North End,12:00,16:00,Even,North Margin St,North Washington St,8.23863636363636E-02,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,2/14/2012 8:36:32 AM,THACH1,147,582
3189,Freeport St,7,South Dorchester,08:00,12:00,Even,Clayton St,Morrissey  William T Blvd,1.02765151515152,,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,2/14/2012 8:36:32 AM,FREEP1,1389,6815
3190,Savin Hill Ave,3,North Dorchester,05:00,07:00,Even,Dorchester Ave,Hubbardston Rd,0.355871212,,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,4/29/2021 2:04:52 PM,SAVIN1,672,2551
3191,Savin Hill Ave,3,North Dorchester,05:00,07:00,Odd,Dorchester Ave,Hubbardston Rd,0.355871212,,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,4/29/2021 2:05:03 PM,SAVIN1,672,2551
3192,Columbus Ave,1B,Back Bay,00:01,07:00,,Stuart St,Clarendon St,0.271401515151515,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,2/29/2012 10:06:53 AM,COLUM15,786,2219
3193,Dartmouth St,1S,South End,05:00,07:00,Even,SW Corridor Path,Columbus Ave,-9.03409090909091E-02,,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,3/30/2020 8:09:43 AM,DARTM2,1168,1645
3194,Harrison Ave,10R,Roxbury,08:00,12:00,Even,East Lenox St,Melnea Cass Blvd,0.160606060606061,,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,2/29/2012 10:06:53 AM,HARRI5,8392,9240
3195,Harrison Ave,10R,Roxbury,08:00,12:00,Odd,East Lenox St,Melnea Cass Blvd,0.160606060606061,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2/29/2012 10:06:53 AM,HARRI5,8392,9240
3196,Shawmut Ave,10R,Roxbury,08:00,12:00,Even,Lenox St,Melnea Cass Blvd,0.196401515151515,,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,3/25/2020 11:50:46 AM,SHAWM2,6299,7336
